time,renew_node_132,renew_node_140,renew_node_143,renew_node_17,renew_node_148,renew_node_150,renew_node_24,renew_node_153,renew_node_154,renew_node_155,renew_node_25,renew_node_159,renew_node_168,renew_node_41,renew_node_171,renew_node_175,renew_node_185,renew_node_190,renew_node_202,renew_node_212,renew_node_86,renew_node_88,renew_node_93,renew_node_95,renew_node_97,renew_node_99,renew_node_111,renew_node_121,renew_node_123
2012-01-01 00:00:00,16.676253,47.792994,210.696216,27.709352,5.360380,711.681856,153.470195,49.787919,0.370617,29.337907,214.272551,508.398912,72.582684,3.914633,2.349627,32.753906,236.838325,15.239831,72.803164,2.800151,24.167230,34.236441,13.873902,11.629556,4.405057,11.497852,15.035371,209.540775,26.216218
2012-01-01 01:00:00,14.795031,36.707529,176.123772,18.342810,6.463988,593.384396,146.519552,40.675541,0.648579,23.361666,219.077178,493.078158,51.333840,4.924861,2.349627,23.694315,235.953279,12.449439,61.440821,3.920211,22.190728,43.901274,15.506125,10.713288,5.100593,14.947207,15.403209,192.773222,35.080695
2012-01-01 02:00:00,22.313389,34.302193,190.909471,15.784357,6.936963,467.905074,138.456806,35.260940,0.440107,20.916841,192.427051,406.625329,34.292688,7.261012,3.434070,17.391991,229.934965,19.532741,48.605581,3.200172,27.805791,62.903318,15.357741,13.744021,3.902726,16.096993,9.563783,175.755408,33.006030
2012-01-01 03:00:00,28.218337,37.544168,195.693080,15.133903,4.887405,389.175608,102.313463,35.525067,0.416944,16.706308,210.919682,360.975734,32.188842,8.855278,2.229133,20.361355,185.682663,29.191788,52.813856,3.520190,26.795080,112.537967,15.506125,22.836219,5.255156,23.871730,6.299223,157.307526,33.006030
2012-01-01 04:00:00,17.845485,34.825092,222.437801,15.307357,3.731245,323.996824,77.569175,34.204433,0.509598,13.446541,226.059443,366.603767,33.451150,13.606506,1.204937,12.331952,201.967510,37.133672,48.605581,4.320233,13.723213,158.568780,14.838397,33.549507,4.192533,28.525623,3.494459,149.013129,41.681901
2012-01-01 05:00:00,13.919740,20.288492,254.183567,12.662176,2.522532,257.598479,82.851663,34.468560,0.625416,11.952480,218.869784,347.999993,26.929228,17.252797,1.566418,19.119070,231.351039,45.075556,44.818133,4.080220,12.083615,176.915581,14.244862,35.734454,3.554959,20.860388,7.816554,145.759723,52.809648
2012-01-01 06:00:00,12.031985,21.543450,239.615304,9.409905,2.312321,186.321887,64.223940,22.714913,1.482467,10.458420,238.295688,250.134766,19.565767,14.080050,4.639007,14.392327,190.992939,41.855873,51.340960,4.800259,10.399096,204.927215,16.173853,31.716971,2.975346,13.304657,9.563783,138.680885,53.375466
2012-01-01 07:00:00,11.794189,28.864040,242.441982,6.721361,2.522532,168.738212,50.600680,13.338408,2.895443,9.371831,244.448376,184.347921,13.043845,17.994683,10.844433,16.717914,163.263513,34.343280,55.128408,5.680306,6.962678,214.100615,13.057790,29.391060,2.067286,14.180684,8.881965,143.507366,63.937395
2012-01-01 08:00:00,13.647232,40.508675,298.111257,9.684110,18.082181,163.720805,66.453654,33.115855,8.661745,42.433941,244.469218,160.139427,86.268111,33.200918,32.263051,21.354816,182.761460,73.838654,70.159737,25.269984,10.405837,223.535908,34.326817,50.257222,6.417497,16.849188,24.776258,103.202763,90.327086
2012-01-01 09:00:00,14.210102,65.825686,388.903018,24.567295,49.104221,166.020658,110.786784,83.423368,20.134604,105.891829,252.621585,177.866675,203.553344,44.021521,60.125139,37.477332,253.053765,152.179175,133.034930,59.841766,24.563587,259.748596,66.861274,65.618103,16.019157,21.137547,40.458146,70.011753,147.445849
2012-01-01 10:00:00,12.166409,101.824803,472.538635,30.879438,72.013701,193.697226,161.459246,128.893469,30.162869,154.510438,281.913241,216.250257,310.502863,70.354858,84.057812,49.165782,309.279580,201.432457,206.621388,86.390762,35.466481,343.265890,97.234481,84.338862,23.669913,34.093673,56.981793,66.262688,221.148506
2012-01-01 11:00:00,11.727296,126.166148,478.722308,29.858734,85.108651,213.779830,219.761975,174.788514,35.869314,200.357980,320.059947,246.913503,376.519144,80.874448,100.547329,56.072324,326.053707,227.987238,254.185544,99.961117,42.296404,434.887297,111.568239,101.729856,27.996840,58.418471,67.867299,63.768900,275.481220
2012-01-01 12:00:00,12.396484,156.184216,442.781667,30.712387,88.128876,218.598697,258.969846,214.684579,37.420754,218.053820,338.237217,259.636839,410.091122,91.040614,106.219573,59.743316,330.639889,238.871697,301.456276,107.919829,44.415270,558.723859,113.270565,86.870859,29.154313,73.544911,68.062336,56.833542,348.328370
2012-01-01 13:00:00,10.160964,135.017852,396.140040,62.630180,89.159980,192.391871,278.758641,212.552394,35.968062,203.690635,338.832409,224.767348,449.338784,112.581372,110.955614,57.137272,334.251592,264.934574,363.278801,108.187946,45.320811,601.450450,104.941077,113.990013,27.979676,91.973110,63.131956,49.879597,451.685184
2012-01-01 14:00:00,9.599229,124.864265,340.673787,77.428258,79.277825,148.360853,270.711987,185.971329,31.383214,176.982853,330.572342,183.463978,423.694029,132.354528,97.540536,55.953112,291.673770,280.386053,422.928159,106.359916,39.790133,643.349986,83.785228,118.489411,24.973630,98.489285,52.912745,39.306148,467.404488
2012-01-01 15:00:00,5.212554,98.833075,280.504042,91.021954,72.923744,103.323842,274.565962,142.953479,27.622524,140.441553,333.683362,140.352429,355.580507,96.235512,70.595730,44.947513,206.334696,205.690013,387.746552,96.767830,14.846226,582.910916,9.051422,149.829871,22.178086,96.301855,16.644662,26.334639,447.956492
2012-01-01 16:00:00,6.434042,36.498370,128.722559,78.488148,41.359012,15.447778,241.326321,73.427276,12.184026,48.217393,336.254779,41.428571,196.709592,65.854226,21.869606,29.330047,83.371338,148.963979,236.715491,50.642729,14.060117,524.194314,13.354558,219.410959,11.727499,123.848289,27.679796,3.503668,324.967942
2012-01-01 17:00:00,7.296269,38.694547,120.242526,74.455331,35.157788,14.363724,274.133355,75.144101,11.720755,75.382121,331.692112,44.867924,155.684597,73.115238,29.038982,28.572556,88.681615,220.440931,324.668446,82.804463,9.882511,593.813872,9.793342,297.646155,5.815449,119.741914,36.921722,3.432164,283.663253
2012-01-01 18:00:00,5.793904,44.341859,149.161614,80.612965,23.701289,25.204270,264.958507,85.973304,11.581774,86.791307,320.008917,53.309972,168.307672,84.622364,35.485394,57.781404,155.591097,194.898116,224.301078,80.564342,9.298544,658.191486,9.570766,293.699154,5.718846,153.523697,48.048816,9.295445,243.112988
2012-01-01 19:00:00,6.486298,72.264680,230.265524,82.260783,20.600677,32.115118,260.232069,124.007576,11.836573,102.411026,309.328127,57.843665,183.455363,99.175959,32.714039,92.080591,248.166914,198.547090,155.706190,94.165075,9.949891,765.978942,11.796526,301.804602,7.071276,199.077091,58.440234,21.701288,253.297705
2012-01-01 20:00:00,9.086043,54.799845,294.409367,93.231778,15.923482,27.372379,429.271704,162.834229,13.458021,124.686103,244.033588,40.803234,163.679211,131.534818,26.990589,103.442955,304.101825,288.268910,189.161979,80.484338,13.318929,854.764354,20.402796,275.655722,15.920032,173.289052,85.706213,19.949454,386.830673
2012-01-01 21:00:00,11.287335,47.060935,335.939787,103.552319,16.186246,19.648490,260.232069,216.716116,18.970945,148.862711,213.754066,32.673854,179.668440,123.374072,18.977758,98.261717,322.510783,396.235597,227.457285,54.722949,9.972352,799.887761,20.551180,280.800919,31.376374,179.147481,118.029962,17.268076,508.670076
2012-01-01 22:00:00,11.731512,184.374286,487.058332,132.779397,21.494074,19.919504,197.120232,258.448165,28.884943,219.491005,203.730024,42.366576,221.955743,89.499870,12.651838,107.109210,325.519939,347.725714,175.905911,40.322173,12.937105,765.323699,24.705932,247.603822,22.952668,183.801374,150.169792,29.423658,495.656269
2012-01-01 23:00:00,14.951799,195.355171,745.155760,153.030207,36.892029,34.147720,309.442621,274.427842,87.187592,253.718563,198.026689,88.485174,294.959196,73.872909,28.436513,170.011253,399.863808,342.788867,143.712605,20.641112,19.585339,832.486095,36.650842,327.883001,11.457013,227.493210,184.792527,68.786291,534.697688
2012-01-02 00:00:00,28.675578,192.217775,0.000000,109.016135,61.118845,44.310732,330.294550,286.577679,122.581492,262.275452,169.959370,133.509431,0.000000,94.045896,35.666135,153.800948,482.881128,332.271238,119.094194,16.560893,0.000000,975.001424,0.000000,384.832585,0.000000,285.365731,242.359146,0.000000,0.000000
2012-01-02 01:00:00,47.455143,214.074965,0.000000,80.656329,65.690934,46.343335,263.846404,317.348462,73.405281,244.210908,159.797065,134.447437,0.000000,98.292009,65.247338,0.000000,0.000000,323.900063,78.694750,19.841069,0.000000,1007.435948,0.000000,471.314193,0.000000,319.476025,273.441442,0.000000,0.000000
2012-01-02 02:00:00,55.999028,241.370308,0.000000,50.561978,39.256902,55.693306,266.626661,319.593540,61.869835,303.565839,184.718908,0.000000,0.000000,35.168556,131.880354,0.000000,0.000000,323.900063,65.017855,8.800474,0.000000,1039.706660,0.000000,495.207645,0.000000,385.123283,276.889922,0.000000,0.000000
2012-01-02 03:00:00,54.940840,382.448533,0.000000,45.878707,45.458126,110.980091,312.222878,297.274818,30.460065,422.411525,140.129202,143.181738,0.000000,27.875974,102.359397,0.000000,0.000000,380.351830,51.340960,4.480241,0.000000,1224.976588,0.000000,402.241678,0.000000,388.736894,249.991781,0.000000,0.000000
2012-01-02 04:00:00,58.389748,456.072752,0.000000,66.779971,62.485216,172.500191,308.330518,325.668459,34.050414,434.907300,128.964492,237.940696,0.000000,24.040265,117.240369,0.000000,0.000000,479.303407,48.605581,4.640250,0.000000,1202.534519,0.000000,336.340860,0.000000,344.388037,217.805972,0.000000,0.000000
2012-01-02 05:00:00,62.648627,530.115290,0.000000,120.854402,107.785685,231.174647,303.882107,478.729993,56.495892,416.163638,122.327885,0.000000,0.000000,118.828047,158.208227,0.000000,628.442325,554.643978,41.872340,6.320341,0.000000,1196.964954,0.000000,315.407659,0.000000,346.194842,225.576546,0.000000,0.000000
2012-01-02 06:00:00,54.908180,619.112748,0.000000,101.991229,148.724275,318.847564,313.891032,282.615775,88.762713,545.060274,121.567440,459.153630,0.000000,15.958443,183.451657,268.757764,985.410279,469.644359,49.236822,6.000323,0.000000,1084.426988,0.000000,284.606956,0.000000,287.720053,188.286986,0.000000,0.000000
2012-01-02 07:00:00,52.479002,398.240092,0.000000,56.459430,121.449399,570.066270,211.577569,118.328848,106.783953,571.274237,138.953969,507.935826,1082.218333,31.585404,176.402776,244.308327,1184.339851,403.318899,62.492890,6.320341,0.000000,905.054246,0.000000,273.470775,0.000000,212.381748,147.907520,0.000000,1338.347370
2012-01-02 08:00:00,61.318405,356.173447,334.352404,74.826503,125.607485,657.609153,193.331318,154.416453,39.710338,484.651833,188.090018,650.541085,1010.246690,29.053886,159.592938,242.794150,1269.891876,494.512383,80.794147,16.582901,0.000000,754.198633,0.000000,281.516710,59.267628,197.221304,105.835958,0.000000,1220.297198
2012-01-02 09:00:00,64.370209,381.723263,0.000000,80.861899,215.456476,702.498522,296.400653,203.273571,35.141414,435.891905,217.410488,746.445454,1115.156223,52.447668,201.542320,290.174006,1309.114302,532.495207,135.744315,18.645679,0.000000,765.646069,0.000000,288.843806,0.000000,235.638029,97.784658,0.000000,1361.660012
2012-01-02 10:00:00,59.504864,398.296142,0.000000,65.479589,268.891657,992.045903,397.656141,274.077643,47.755995,573.793185,206.535790,0.000000,1454.683045,55.396961,230.873372,322.404995,1374.106328,502.853164,210.529830,30.922938,0.000000,761.847677,0.000000,268.139119,0.000000,191.160871,88.534392,0.000000,760.861845
2012-01-02 11:00:00,72.649235,531.593204,0.000000,83.858965,319.133809,1204.739867,565.324643,282.310921,114.187255,633.590089,209.281887,0.000000,0.000000,61.970039,292.896684,0.000000,1519.831480,701.669274,371.903257,58.009429,0.000000,947.398706,0.000000,323.910527,0.000000,240.076049,118.039135,0.000000,0.000000
2012-01-02 12:00:00,64.858684,579.907493,0.000000,97.551969,0.000000,1251.117344,738.830992,405.829226,0.000000,718.940699,201.418377,1350.698857,0.000000,94.938911,281.551693,0.000000,0.000000,742.760035,635.743703,89.579352,0.000000,1344.142907,0.000000,359.822342,0.000000,303.864005,138.772289,0.000000,0.000000
2012-01-02 13:00:00,70.153173,527.982023,0.000000,114.626955,323.067820,1316.437110,794.337200,500.082715,0.000000,819.052012,186.170934,1407.344594,0.000000,66.978285,357.014005,0.000000,0.000000,804.635159,700.885900,126.532688,0.000000,1201.518863,0.000000,405.507961,0.000000,362.446769,109.543417,0.000000,0.000000
2012-01-02 14:00:00,70.824896,519.994327,0.000000,100.537376,283.399259,1154.857461,802.698619,411.984509,0.000000,780.705197,183.858855,1343.556776,0.000000,102.682136,363.397102,0.000000,0.000000,865.554036,735.188073,129.746028,0.000000,994.952046,0.000000,359.806749,0.000000,326.584842,109.944486,0.000000,0.000000
2012-01-02 15:00:00,64.262036,334.970230,0.000000,84.479838,0.000000,1012.818393,567.509034,284.536737,0.000000,555.990146,161.224904,0.000000,0.000000,37.929730,391.166652,209.268355,1650.291224,606.457887,611.409693,117.590329,0.000000,716.778229,0.000000,0.000000,0.000000,268.165033,74.900977,0.000000,0.000000
2012-01-02 16:00:00,61.864784,303.490742,0.000000,44.968071,172.740880,914.671084,268.850867,191.227870,46.234440,371.885131,104.561134,977.557933,1275.561772,29.675442,305.270787,132.348807,1352.881401,312.094560,345.920237,59.843225,0.000000,456.376675,0.000000,216.380226,167.450143,165.350059,25.610708,0.000000,866.832654
2012-01-02 17:00:00,59.082143,198.387987,1056.525194,28.273079,116.719652,825.372084,194.618001,106.971392,48.110688,340.645693,77.288825,876.878689,932.424505,46.407340,242.855051,67.598486,909.473327,177.941121,226.826044,44.402393,112.188955,316.973749,130.948857,213.772386,89.646782,158.615603,45.657870,239.214694,534.509082
2012-01-02 18:00:00,54.607707,148.817135,930.846749,16.825084,97.958321,842.852465,144.295346,43.977128,66.201418,287.810297,68.163489,842.641493,867.626051,34.253037,200.742503,58.720693,603.778419,95.517249,114.885918,34.641867,122.857574,255.708539,84.207905,184.663255,52.377678,136.331671,40.278242,236.604819,422.665791
2012-01-02 19:00:00,50.982435,147.353017,793.644156,22.418990,50.345532,844.343040,152.636118,38.826653,44.612992,289.440180,74.938360,746.339608,675.544920,11.112506,172.968705,35.692970,536.691928,68.686561,81.009301,18.240983,125.957089,234.413145,71.001732,188.116881,50.194470,129.925725,61.934694,207.431424,355.522096
2012-01-02 20:00:00,47.638039,125.809567,790.165168,19.253446,40.991143,884.317554,149.855860,23.771420,18.554001,236.740607,87.243736,665.358478,572.035701,11.822822,143.387502,51.660878,389.420265,84.355682,109.625574,19.281039,136.311265,221.963530,82.872450,172.469842,19.842079,101.345351,103.178510,207.216913,313.651589
2012-01-02 21:00:00,30.047303,87.324180,615.998327,13.442721,37.417556,829.708303,84.797843,20.073644,7.018555,145.602944,114.654307,690.528289,327.568807,8.618506,71.573257,27.451469,358.620662,59.456804,110.888057,20.481104,135.098411,152.835405,83.317602,154.567373,10.355749,75.721567,48.002836,168.676570,265.368482
2012-01-02 22:00:00,10.823561,70.905142,389.646665,9.886905,38.416058,800.709842,91.748486,19.809517,5.281289,71.307412,148.874315,639.250662,194.605746,5.477329,44.221188,24.270008,418.095757,55.807831,94.475783,16.960914,136.468486,102.873134,65.956677,144.911318,7.187199,82.182264,26.806181,154.089872,185.022375
2012-01-02 23:00:00,7.635934,64.630351,319.414593,8.152360,65.585829,775.641079,103.425566,19.281263,3.289224,54.736928,186.896545,576.091633,105.823449,6.077152,11.446901,18.603976,489.607478,50.441693,100.367368,13.440724,127.664068,125.806635,50.969895,120.242562,9.312446,71.560439,26.254425,158.558836,265.557088
2012-01-03 00:00:00,10.046250,58.250980,233.744512,7.241724,108.101001,745.694070,83.407715,18.753009,1.227668,42.512800,211.818389,595.633412,95.724989,9.802367,4.337773,20.906748,523.416238,25.757460,104.154816,10.400561,89.257038,148.084894,33.312202,88.243662,4.617582,48.838494,42.117431,182.190716,437.377051
2012-01-03 01:00:00,9.216684,47.897574,241.137362,4.856725,71.419183,703.551447,89.246255,14.130789,1.227668,31.511085,228.202514,581.406997,152.528828,14.964000,3.976292,23.451918,613.336917,14.595894,115.937987,10.960591,75.915649,127.280932,29.009067,61.178513,2.550296,29.949166,64.141721,185.015101,536.017929
2012-01-03 02:00:00,9.569413,52.499088,390.081539,4.292998,35.262893,593.790917,86.465997,13.602535,4.099948,21.188488,240.093102,536.226405,172.936133,13.211886,5.964438,36.935255,743.438687,12.020148,128.983641,15.840854,75.488904,129.410471,22.999516,33.408543,2.279810,16.699261,36.232026,183.549281,455.294610
2012-01-03 03:00:00,8.556949,56.473122,587.948986,4.379725,19.444516,550.835253,80.071406,14.130789,6.045686,17.521250,254.818075,532.787052,162.837673,10.749455,5.602957,40.995406,583.245351,8.585820,125.406607,31.761712,59.834109,170.690774,16.989965,39.751937,1.622916,21.188898,28.001654,200.459840,318.932554
2012-01-03 04:00:00,15.245740,46.642616,648.831278,5.593907,12.770318,544.059911,74.788917,16.772058,7.180700,13.446541,262.837309,531.536378,127.072293,9.281468,4.819748,34.329487,370.657288,8.156529,132.139847,54.242924,55.117456,263.080021,17.286733,41.936884,1.584275,29.456401,26.944121,194.775318,246.507894
2012-01-03 05:00:00,11.574744,39.949505,550.767301,5.203634,11.719263,497.716576,84.519817,17.432375,2.733299,18.879486,261.212723,456.964951,95.304219,8.823709,1.385678,40.601511,262.327651,10.302984,167.489361,73.603967,45.369707,282.082065,13.280366,52.297762,0.888740,31.865475,45.336012,161.812241,258.390064
2012-01-03 06:00:00,12.887680,36.184630,485.318838,5.507179,9.669705,437.687052,130.672086,22.846976,1.436140,31.375261,258.274641,366.134764,101.405373,10.686316,1.445924,39.298627,175.593138,7.941884,185.164117,45.362445,39.372820,270.451504,10.980414,56.808620,0.637574,31.646468,44.370438,134.533686,279.325318
2012-01-03 07:00:00,20.558390,35.661731,605.778800,4.943452,7.672701,514.942586,180.994741,20.469834,1.273995,50.933866,246.107528,447.073916,145.586137,13.717000,1.867652,35.659964,151.609686,6.224720,245.552869,62.243355,42.607097,342.200601,13.799710,65.055032,0.540972,25.733287,46.559630,141.755532,334.586842
2012-01-03 08:00:00,36.240422,64.565400,655.393076,10.231659,20.790316,518.558317,255.995581,48.477792,7.967630,101.296192,246.520868,453.764187,190.795045,17.545802,22.003849,43.086505,193.946145,55.111172,257.654619,87.016223,40.668306,357.329374,39.120717,79.608639,6.198973,38.334387,64.337124,134.911686,323.721540
2012-01-03 09:00:00,33.250296,124.286338,737.249446,28.956431,53.700588,464.102714,423.109505,119.314767,20.681833,179.202284,275.977851,422.400887,283.199841,25.048004,58.076074,65.271761,315.114949,169.525320,333.049305,141.152158,41.458994,368.862545,76.701938,77.330782,15.927679,55.449387,79.599520,108.639767,388.671859
2012-01-03 10:00:00,38.913131,179.788468,760.889513,42.543608,89.394578,445.220553,454.474057,186.226056,31.179398,260.030148,289.615989,432.909055,356.330148,32.438908,87.326446,99.402091,530.104809,275.837312,363.371845,187.756978,48.629176,469.485659,108.414691,73.064423,25.154134,65.832490,92.327581,86.286964,512.272556
2012-01-03 11:00:00,47.608132,189.020031,748.815933,52.288197,96.205166,370.232233,509.045124,229.839896,37.439812,300.710799,303.689822,375.548588,397.815262,33.466000,104.662656,113.548618,555.326463,342.152442,327.919807,124.525509,56.227387,539.524405,123.922733,111.100639,30.612108,118.470934,92.366156,84.746671,628.480637
2012-01-03 12:00:00,40.104411,244.922526,836.131889,63.271944,104.176974,290.714206,591.116927,252.381828,39.972673,327.798754,305.521197,330.566562,432.309527,33.216351,108.548557,100.010305,610.511958,370.120767,365.905510,137.898097,55.674250,621.388388,121.384414,101.792961,33.705615,97.682568,91.059379,112.897114,764.955357
2012-01-03 13:00:00,31.110309,221.141008,741.880110,65.246035,111.619513,282.111242,578.371205,233.184244,37.975354,325.541124,280.772355,275.823248,454.909792,27.868011,103.544200,82.932073,601.410372,358.607649,358.898419,135.475959,48.900360,525.855300,109.138076,91.913115,39.187668,61.785146,73.914032,174.296198,908.131309
2012-01-03 14:00:00,28.540863,188.085014,565.661501,58.675346,92.890894,218.625974,515.457326,203.380204,31.261044,286.749208,261.666503,195.436320,400.125230,29.552645,86.583471,74.471369,591.401380,309.570061,300.650948,113.149736,39.850508,486.178236,85.160032,104.541865,31.848412,80.516371,55.182897,138.905074,773.831279
2012-01-03 15:00:00,14.109168,136.692807,444.744508,45.860203,73.544586,165.438367,429.530640,160.983412,21.432894,225.887704,253.102408,144.524744,293.707324,23.342143,61.894244,55.648021,439.706580,233.260060,230.194715,79.430528,23.695565,426.844799,9.793342,115.022703,22.915539,96.678163,17.058479,124.717309,732.499076
2012-01-03 16:00:00,4.899017,53.440306,277.884173,5.377089,27.695298,67.482400,171.541866,31.563164,3.011261,107.300677,229.066655,53.153638,132.121523,7.592493,11.868629,32.996303,256.663356,20.605968,95.317438,25.681384,26.143732,311.567996,12.241678,67.239979,14.026630,60.117339,6.805000,122.020588,588.261760
2012-01-03 17:00:00,5.003529,47.060935,272.230818,9.366541,24.016605,62.468647,195.452078,32.355544,1.992065,91.409311,232.246696,50.652290,112.345371,8.902633,12.109617,23.330719,266.929890,18.030222,140.135571,28.961561,18.147883,292.565952,9.793342,42.148331,13.756144,31.427462,9.517804,146.403254,543.939376
2012-01-03 18:00:00,8.217284,29.596099,258.532302,15.307357,15.397955,88.756972,185.999203,31.299037,0.926542,79.728478,245.035992,59.563341,114.238833,14.127405,10.543199,11.604760,323.749847,13.951958,156.337431,18.320987,8.871799,222.618773,7.864351,28.051899,15.359740,15.494724,11.724831,170.893176,492.827181
2012-01-03 19:00:00,6.270742,18.928954,322.893581,19.730446,9.406942,139.572032,217.138084,36.977765,0.833888,79.321007,259.795531,82.544473,99.722296,22.935328,5.000489,10.574573,374.020463,17.171640,215.253286,20.801121,4.694193,197.228111,5.935359,24.175380,18.431688,20.915140,10.713277,168.676570,465.479328
2012-01-03 20:00:00,11.300399,16.628197,410.955467,21.204809,12.665212,164.369781,265.792584,43.184747,0.857051,80.000125,256.684621,75.509433,78.683837,26.707898,3.132836,13.513637,333.485354,17.815577,276.694107,30.881664,2.785071,202.797675,4.525711,30.236846,19.706836,19.327341,7.770574,159.309622,503.011899
2012-01-03 21:00:00,12.260606,24.262527,458.574117,20.120719,17.027090,152.851701,323.899958,49.127602,1.227668,88.421191,271.651553,72.851751,62.694608,32.974467,4.578761,12.756146,297.375475,24.684233,263.858867,24.241307,6.491013,219.342558,5.786975,45.038099,16.113236,16.370751,7.862533,165.744929,486.791793
2012-01-03 22:00:00,17.094303,42.982321,515.542547,22.635808,14.189242,188.761010,374.778664,58.239980,0.741234,114.635154,287.897415,88.016171,78.894221,35.926227,5.663204,13.513637,282.506701,33.484698,279.429486,30.801660,8.871799,262.752400,6.603087,80.631589,9.486330,22.448187,9.885642,169.248597,421.722762
2012-01-03 23:00:00,29.740298,54.172365,559.899645,31.438623,12.297343,266.541929,445.397196,69.861563,0.718070,120.203923,304.903722,122.878704,92.358835,48.664568,6.747647,12.786446,258.610458,36.060444,312.674862,35.681923,9.815130,302.886027,7.419199,94.305128,5.467681,23.433717,22.851925,169.463107,396.260967
2012-01-04 00:00:00,32.758092,51.244129,540.547773,38.897165,15.503060,287.952008,502.392467,89.935207,0.532762,133.514640,290.178749,140.700806,74.896914,58.640568,6.265672,13.210641,245.157758,29.835725,329.507963,33.441802,8.422594,313.042292,7.641775,81.618339,5.313117,28.361368,26.392364,181.582937,485.282946
2012-01-04 01:00:00,36.834074,46.956355,565.987874,46.052162,36.524159,240.389111,590.804645,110.669168,0.810724,197.080104,241.752254,117.407006,83.733067,48.396226,3.614811,12.150154,225.686744,22.967069,389.686301,21.441156,6.738075,313.533724,10.461070,82.675572,8.307784,29.894415,25.058952,198.350489,745.559069
2012-01-04 02:00:00,44.176067,38.067068,624.043487,68.427789,69.579837,196.213886,697.288494,133.648208,0.880215,256.570859,195.330567,98.177896,93.621143,41.735037,3.193083,14.422626,327.644050,27.474624,459.122845,20.401100,4.626812,302.558406,8.235311,75.063499,12.384394,33.836535,24.783073,210.291561,938.502891
2012-01-04 03:00:00,50.877922,48.734213,777.336400,77.620876,79.669965,283.344776,780.974234,176.832955,2.339518,312.937670,157.446600,114.905658,147.689982,36.668113,9.157521,10.332176,374.905509,43.143746,461.437397,25.121354,20.393908,282.409687,10.238494,62.940567,10.587594,40.570991,21.426553,231.528077,807.044588
2012-01-04 04:00:00,54.784072,77.911993,887.794271,65.435699,84.136948,436.874011,861.045640,216.451989,6.532120,320.679618,122.466148,286.716976,317.891116,51.142783,25.183183,17.482890,427.654254,72.120889,472.799740,23.521268,45.077724,252.596135,22.702748,66.605640,6.684868,40.297233,14.483614,199.995068,626.360149
2012-01-04 05:00:00,49.852395,63.793712,635.132762,68.991516,121.659610,536.607036,1006.731115,219.621511,10.469923,264.991925,76.770340,497.142848,501.556864,42.161226,31.388609,16.664799,609.265705,86.716783,477.639257,23.681276,101.228352,182.812767,57.498790,59.205013,7.187199,39.311703,20.185101,192.093940,659.366179
2012-01-04 06:00:00,50.342297,41.936522,615.128580,59.278065,86.974797,576.446043,977.260389,225.300240,6.949064,195.178573,43.967525,627.838263,649.036461,55.499391,22.050347,26.148585,784.150806,98.951577,448.181329,53.442880,120.903532,174.294609,89.104577,60.967067,6.993995,23.597972,28.783310,213.616470,548.088706
2012-01-04 07:00:00,57.099489,30.118999,634.045578,43.753890,50.450637,614.783523,773.745565,219.753575,2.339518,122.784572,36.570473,671.305096,659.345306,32.753480,9.157521,61.803623,842.653647,105.820233,380.428095,74.003989,147.316788,178.226067,113.291164,82.323161,8.133900,18.068053,45.380950,254.587930,536.206535
2012-01-04 08:00:00,56.112839,35.645165,719.403543,63.010080,64.785327,680.072792,571.432454,247.267194,7.764768,184.022932,39.343165,734.271651,709.329783,4.607038,21.743564,59.863686,935.601523,180.339223,347.196437,125.420609,142.902605,175.605667,158.187155,75.380398,11.030117,18.561009,38.570748,286.576953,531.105754
2012-01-04 09:00:00,55.313334,96.506045,891.630907,80.162042,83.542590,807.646881,696.711662,284.245423,19.572197,279.730925,11.446466,924.323103,832.119224,3.482429,54.579696,55.622141,794.887361,331.355897,435.047731,226.870143,163.335071,161.867288,225.374966,37.098799,42.563050,10.850307,71.504307,321.658686,532.872310
